query,vol,kd,ai_overview,verdict,top3_organic,aio_sources
fbc blood test,18100,9,Y,MIXED,labtestsonline.org.uk / healthdirect.gov.au / gloshospitals.nhs.uk,nhs.uk / labtestsonline.org.uk / healthclinics.superdrug.com / britishlivertrust.org.uk
liver function blood test,18100,18,n,MIXED,britishlivertrust.org.uk / sps.nhs.uk / nhs.uk,
mchc blood test,12100,0,Y,MIXED,my.clevelandclinic.org / privatebloodtestslondon.co.uk / ubiehealth.com,
blood test mchc,12100,0,Y,MIXED,privatebloodtestslondon.co.uk / health.com / my.clevelandclinic.org,
count of lymphocytes,12100,9,Y,MIXED,my.clevelandclinic.org / cancercenter.com / mayoclinic.org,my.clevelandclinic.org / patientpower.info / rightdecisions.scot.nhs.uk / mayoclinic.org
blood analysis mch,9900,0,Y,MIXED,my.clevelandclinic.org / testing.com / bluecrestwellness.com,my.clevelandclinic.org / testing.com / healthline.com / healthmatters.io
low vitamin d symptoms,9900,22,Y,MIXED,my.clevelandclinic.org / boots.com / endocrinecenter.com,my.clevelandclinic.org / coreprescribingsolutions.co.uk / yalemedicine.org / endocrinecenter.com
mcv test,8100,0,Y,MIXED,medlineplus.gov / my.clevelandclinic.org / axahealth.co.uk,medlineplus.gov / my.clevelandclinic.org / axahealth.co.uk / londongpclinic.co.uk
chronic fatigue and exhaustion,8100,0,Y,MIXED,nhs.uk / mayoclinic.org / cdc.gov,nhs.uk / my.clevelandclinic.org / betterhealth.vic.gov.au / cdc.gov
ferritin blood test,8100,12,Y,MIXED,medlineplus.gov / boots.com / nhs.uk,
ggt blood test,6600,10,Y,MIXED,medlineplus.gov / mayoclinic.org / labtestsonline.org.uk,medlineplus.gov / mayoclinic.org / labtestsonline.org.uk / thriva.co
haematocrit pcv low,6600,10,Y,MIXED,my.clevelandclinic.org / labtestsonline.org.uk / medlineplus.gov,
blood test ggt,6600,20,Y,MIXED,medlineplus.gov / mayoclinic.org / labtestsonline.org.uk,medlineplus.gov / mayoclinic.org / labtestsonline.org.uk / thriva.co
14 signs of vitamin d deficiency,6600,9,n,MIXED,health.com / coreprescribingsolutions.co.uk / my.clevelandclinic.org,
exhausted fatigue symptoms,6600,0,Y,MIXED,nhs.uk / my.clevelandclinic.org / betterhealth.vic.gov.au,nhs.uk / betterhealth.vic.gov.au / mayoclinic.org / webmd.com
serum gamma gt level,8100,4,Y,WEDGE,medlineplus.gov / my.clevelandclinic.org / laboratories.newcastle-hospitals.nhs.uk,medlineplus.gov / mayoclinic.org / my.clevelandclinic.org / laboratories.newcastle-hospitals.nhs.uk
